Date,Gas Production
7/15/2017,1611.471
7/16/2017,1220.253
7/17/2017,1149.902
7/18/2017,1165.698
7/19/2017,1165.846
7/20/2017,1173.752
7/21/2017,1174.365
7/22/2017,1177.038
7/23/2017,1158.222
7/24/2017,973.8075
7/25/2017,997.5554
7/26/2017,1115.182
7/27/2017,1087.036
7/28/2017,1157.5133
7/29/2017,1142.82729
7/30/2017,1066.534
7/31/2017,992.0525
8/1/2017,1007.905
8/2/2017,1023.006
8/3/2017,1031.441
8/4/2017,1006.595
8/5/2017,967.601
8/6/2017,964.4017
8/7/2017,967.0154
8/8/2017,1017.55
8/9/2017,1007.743
8/10/2017,1021.417
8/11/2017,827.458
8/12/2017,1161.682
8/13/2017,1387.109
8/14/2017,1336.278
8/15/2017,1357.266
8/16/2017,1382.315
8/17/2017,1360.717
8/18/2017,1388.104
8/19/2017,1409.903
8/20/2017,1400.155
8/21/2017,1311.701
8/22/2017,1368.557
8/23/2017,1452.44685
8/24/2017,1530.907
8/25/2017,1504.432
8/26/2017,1506.9
8/27/2017,1243.221
8/28/2017,1420.861
8/29/2017,1437.106
8/30/2017,1255.763
8/31/2017,1361.468
9/1/2017,1506.001
9/2/2017,1350.025
9/3/2017,1247.349
9/4/2017,1313.593
9/5/2017,1292.199
9/6/2017,1306.965
9/7/2017,1322.814
9/8/2017,1354.739
9/9/2017,1393.083
9/10/2017,1339.931
9/11/2017,1341.03
9/12/2017,1436.99
9/13/2017,1342.174
9/14/2017,1499.265
9/15/2017,1493.726
9/16/2017,1087.793
9/17/2017,735.8013
9/18/2017,790.4019
9/19/2017,761.989
9/20/2017,734.5387
9/21/2017,794.6636
9/22/2017,705.0960659
9/23/2017,745.3807
9/24/2017,732.9777
9/25/2017,746.77
9/26/2017,779.4304
9/27/2017,778.1541
9/28/2017,760.315
9/29/2017,790.125
9/30/2017,756.2994
10/1/2017,730.258
10/2/2017,726.4966
10/3/2017,760.258
10/4/2017,752.124
10/5/2017,771.025
10/6/2017,758.5499
10/7/2017,766.9976
10/8/2017,764.6887
10/9/2017,732.9008
10/10/2017,784.3943
10/11/2017,782.2851
10/12/2017,748.5513
10/13/2017,761.2373
10/14/2017,784.9174
10/15/2017,919.8206
10/16/2017,957.1366
10/17/2017,961.434
10/18/2017,1219.945
10/19/2017,1412.033
10/20/2017,1386.693
10/21/2017,1431.406
10/22/2017,1374.425
10/23/2017,1212.568
10/24/2017,1022.272
10/25/2017,1062.421
10/26/2017,999.996
10/27/2017,1042.45996
10/28/2017,1063.153
10/29/2017,1073.177
10/30/2017,1055.502
10/31/2017,1079.502
11/1/2017,1094.334
11/2/2017,1072.065
11/3/2017,1084.962
11/4/2017,1091.293
11/5/2017,1073.072
11/6/2017,1053.562
11/7/2017,1024.154
11/8/2017,1047.094
11/9/2017,1079.762
11/10/2017,1080.932
11/11/2017,993.9802
11/12/2017,1020.444
11/13/2017,1021.078
11/14/2017,1046.674
11/15/2017,1008.223
11/16/2017,1045.634
