Date,Caramelo-2,Caramelo-3,Toposi-1,Toposi-2H,La Estancia-1H
12/24/2015,1857.16,,1261.902,1827.608,1245.133
12/25/2015,1844.823,,1262.961,1809.911,1242.6
12/26/2015,1835.253,,1263.285,1796.01,1225.123
12/27/2015,1828.736,,1260.955,1781.721,1221.432
12/28/2015,1818.476,,1229.518,1739.766,1205.404
12/29/2015,1787.356,,1191.962,1679.304,1185.847
12/30/2015,1788.643,,1202.548,1670.838,1197.965
12/31/2015,1776.878,,1196.148,1660.534,1192.532
1/1/2016,1743.088,,1175.245,1607.492,1173.764
1/2/2016,1718.55,,1166.4,1579.765,1158.694
1/3/2016,1768.42,,1214.748,1652.401,1217.884
1/4/2016,1769.375,,1217.435,1662.605,1229.379
1/5/2016,1759.491,,1217.519,1654.442,1231.11
1/6/2016,1778.419,,1237.324,1690.354,1234.22
1/7/2016,1761.20117,,1225.33337,1675.39616,1231.73473
1/8/2016,1745.72543,,1217.39425,1662.78666,1228.34732
1/9/2016,1686.38757,,1169.09603,1598.38712,1188.17934
1/10/2016,1656.2416,,1154.631,1572.72543,1177.41532
1/11/2016,1684.02575,,1186.46728,1608.85148,1202.46823
1/12/2016,1715.227,,1211.665,1674.469,1228.575
1/13/2016,1707.731,,1207.863,1681.598,1204.862
1/14/2016,1703.463,,1207.777,1684.56,1148.896
1/15/2016,1694.067,,1202.025,1682.879,1140.339
1/16/2016,1683.807,,1200.128,1681.981,1134.406
1/17/2016,1673.925,,1195.733,1681.059,1133.012
1/18/2016,1664.625,,1191.573,1681.009,1135.308
1/19/2016,1656.36,,1185.149,1680.398,1127.735
1/20/2016,1652.045,,1182.343,1679.26,1118.979
1/21/2016,1640.244,,1177.985,1678.927,1112.655
1/22/2016,1631.61944,,1170.679,1678.891,1102.34082
1/23/2016,1624.40732,,1164.883,1678.695,1115.8125
1/24/2016,1615.841,,1157.791,1676.39,1112.08083
1/25/2016,1607.273,,1152.659,1673.348,1099.14638
1/26/2016,1601.695,,1152.666,1674.077,1109.25988
1/27/2016,1594.817,,1148.41,1673.192,1110.80029
1/28/2016,1587.206,,1144.533,1673.065,1103.06984
1/29/2016,1579.432,,1138.197,1671.883,1109.00548
1/30/2016,1573.066,,1134.021,1671.203,1132.256
1/31/2016,1657.776,,1131.685,1670.841,1137.755
2/1/2016,1813.97,,1124.636,1669.257,1149.632
2/2/2016,1679.206,,1120.095,1667.868,1151.957
2/3/2016,1667.144,,1117.831,1667.178,1138.202
2/4/2016,1652.797,,1108.579,1664.67,1141.418
2/5/2016,1642.266,,1102.957,1663.601,1158.253
2/6/2016,1630.984,,1098.986,1662.597,1166.674
2/7/2016,1613.321,,1086.535,1657.218,1173.697
2/8/2016,1599.896,,1081.215,1651.727,1177.757
2/9/2016,1597.124,,1091.151,1660.742,1168.57
2/10/2016,1590.332,,1090.68,1658.962,1161.08
2/11/2016,1578.162,,1076.98,1653.805,1156.709
2/12/2016,1561.702,,1058.735,1644.767,1139.79
2/13/2016,1536.002,,1037.781,1628.767,1109.242
2/14/2016,1554.257,,1064.938,1649.473,1236.308
2/15/2016,1489.388,,1023.135,1607.617,1250.134
2/16/2016,1548.137,,1073.22,1653.141,1282.215
2/17/2016,1543.01,,1073.843,1650.849,1285.884
2/18/2016,1532.593,,1064.212,1643.947,1298.555
2/19/2016,1539.103,,1220.124,1649.495,1305.163
2/20/2016,1528.306,,1239.846,1642.233,1302.144
2/21/2016,1516.973,,1233.948,1634.59,1298.251
2/22/2016,1519.317,,1234.367,1636.98,1306.024
2/23/2016,1537.001,,1242.073,1646.615,1322.976
2/24/2016,1541.48982,,1241.014,1648.49,1331.842
2/25/2016,1542.009,,1240.595,1649.226,1326.831
2/26/2016,1544.811,,1240.119,1649.861,1314.427
2/27/2016,1544.566,,1237.08,1648.883,1319.512
2/28/2016,1537.749,,1230.73,1646.942,1324.465
2/29/2016,1528.444,,1223.742,1640.846,1331.104
3/1/2016,1645.544,,1207.897,1622.425,1316.97132
3/2/2016,1659.617,,1201.325,1611.93,1306.625
3/3/2016,1647.837,,1201.895,1609.868,1298.063
3/4/2016,1638.217,,1203.27,1611.115,1276.146
3/5/2016,1640.179,,1216.84,1628.573,1286.476
3/6/2016,1623.646,,1209.608,1624.206,1294.411
3/7/2016,1602.493,,1199.285,1610.033,1279.494
3/8/2016,1589.611,,1197.638,1606.434,1290.527
3/9/2016,1580.072,,1198.587,1608.579,1295.297
3/10/2016,1565.751,,1194.799,1604.924,1298.155
3/11/2016,1548.826,,1189.559,1599.042,1297.008
3/12/2016,1535.683,,1189.502,1599.56,1287.747
3/13/2016,1512.828,,1182.974,1592.919,1279.62
3/14/2016,1460.39,,1250.496,1564.785,1209.379
3/15/2016,1541.146,,1221.04,1624.401,1210.682
3/16/2016,1540.06,,1222.291,1629.162,1269.98
3/17/2016,1529.737,,1217.182,1623.13,1274.719
3/18/2016,1526.189,,1217.037,1623.325,1285.781
3/19/2016,554.2993,,426.2054,735.241,400.9449
3/20/2016,1854.765,,1235.603,1812.469,1287.704
3/21/2016,1818.257,,1222.309,1803.907,1279.312
3/22/2016,1792.991,,1218.737,1787.518,1273.758
3/23/2016,1780.269,,1216.788,1775.474,1265.741
3/24/2016,1748.924,,1201.807,1723.442,1225.428
3/25/2016,1753.18,,1206.76,1744.87,1228.241
3/26/2016,1680.907,,1140.513,1670.407,1202.689
3/27/2016,1682.715,,1153.907,1662.059,1230.472
3/28/2016,1702.268,,1151.508,1662.888,1233.536
3/29/2016,1724.934,,1192.084,1686.505,1278.879
3/30/2016,1729.965,,1196.304,1680.838,1248.739
3/31/2016,1721.552,,1187.655,1661.844,1283.066
4/1/2016,1675.214,,1171.214,1638.835,1054.78
4/2/2016,1664.591,,1137.269,1584.55,1173.674
4/3/2016,1624.592,,1110.244,1533.628,1245.022
4/4/2016,1542.659,,1060.336,1434.124,1176.734
4/5/2016,1539.994,,1048.763,1403.095,1157.216
4/6/2016,785.9234,,485.4365,702.4358,559.1923
4/7/2016,0,,,,0
4/8/2016,830.5815,,743.7392,1111.158,384.55
4/9/2016,1641.942,,990.2118,1506.854,1231
4/10/2016,1728.098,,1078.068,1680.832,1202.7928
4/11/2016,1673.507,,1049.504,1645.049,1219.895
4/12/2016,1692.426,,762.3435,1672.863,1257.62
4/13/2016,908.1697,,505.9575,772.5806,884.8947
4/14/2016,1494.65,,963.2564,1471.129,1088.253
4/15/2016,1645.69,,1059.01,1646.59,938.7404
4/16/2016,1687.072,,1032.079,1611.123,1208.276
4/17/2016,1676.968,,1029.771,1613.77,1207.769
4/18/2016,1660.964,,1022.847,1588.624,1202.419
4/19/2016,1626.578,,999.7976,1532.763,1179.029
4/20/2016,1579.656,,970.4658,1465.625,1151.377
4/21/2016,1526.62,,647.3421,968.1036,742.5874
4/22/2016,2.016549,,0,0,0
4/23/2016,0,,0,0,0
4/24/2016,0,,0,0,0
4/25/2016,0,,0,0,0
4/26/2016,0,,0,0,0
4/27/2016,0,,0,0,0
4/28/2016,0,,0,0,0
4/29/2016,0,,0,0,0
4/30/2016,0,,0,0,0
5/1/2016,0,,0,0,0
5/2/2016,0,,0,0,0
5/3/2016,0,,0,0,0
5/4/2016,0,,0,0,0
5/5/2016,0,,0,0,0
5/6/2016,0,,0,0,0
5/7/2016,0,,0,0,0
5/8/2016,0,,0,0,0
5/9/2016,0,,0,0,0
5/10/2016,0,,0,0,0
5/11/2016,0,,0,0,0
5/12/2016,0,,0,0,0
5/13/2016,0,,0,0,0
5/14/2016,0,,0,0,0
5/15/2016,0,,0,0,0
5/16/2016,0,,0,0,0
5/17/2016,0,,0,0,0
5/18/2016,0,,0,0,0
5/19/2016,0,,0,0,0
5/20/2016,0,,0,0,0
5/21/2016,0,,0,0,0
5/22/2016,0,,0,0,0
5/23/2016,0,,0,0,0
5/24/2016,0,,0,0,0
5/25/2016,0,,0,0,0
5/26/2016,0,,0,0,0
5/27/2016,0,,0,0,0
5/28/2016,0,,0,0,0
5/29/2016,0,,0,0,0
5/30/2016,0,,0,0,0
5/31/2016,0,,0,0,0
6/1/2016,0,,0,0,0
6/2/2016,0,,0,0,0
6/3/2016,0,,0,0,0
6/4/2016,0,,0,0,0
6/5/2016,0,,0,0,0
6/6/2016,0,,0,0,0
6/7/2016,0,,0,0,0
6/8/2016,0,,0,0,0
6/9/2016,0,,0,0,0
6/10/2016,0,,0,0,0
6/11/2016,0,,0,0,0
6/12/2016,0,,0,0,0
6/13/2016,0,,0,0,0
6/14/2016,0,,0,0,0
6/15/2016,0,,0,0,0
6/16/2016,0,,0,0,0
6/17/2016,0,,0,0,0
6/18/2016,0,,0,0,0
6/19/2016,0,,0,0,0
6/20/2016,0,,0,0,0
6/21/2016,0,,0,0,0
6/22/2016,0,,0,0,0
6/23/2016,0,,0,0,0
6/24/2016,0,,0,0,0
6/25/2016,0,,0,0,0
6/26/2016,0,,0,0,0
6/27/2016,0,,0,0,0
6/28/2016,0,,0,0,0
6/29/2016,0,,0,0,0
6/30/2016,0,,0,0,0
7/1/2016,0,,0,0,0
7/2/2016,0,,0,0,0
7/3/2016,0,,0,0,0
7/4/2016,0,,0,0,0
7/5/2016,0,,0,0,0
7/6/2016,0,,0,0,0
7/7/2016,0,,0,0,0
7/8/2016,0,,0,0,0
7/9/2016,0,,0,0,0
7/10/2016,0,,0,0,0
7/11/2016,0,,0,0,0
7/12/2016,0,,0,0,0
7/13/2016,0,,0,0,0
7/14/2016,0,,0,0,0
7/15/2016,0,,0,0,0
7/16/2016,0,,0,0,0
7/17/2016,0,,0,0,0
7/18/2016,0,,0,0,0
7/19/2016,0,,0,0,0
7/20/2016,0,,0,0,0
7/21/2016,0,,0,0,0
7/22/2016,0,,0,0,0
7/23/2016,0,,0,0,0
7/24/2016,0,,0,0,0
7/25/2016,0,,0,0,0
7/26/2016,0,,0,0,0
7/27/2016,0,,0,0,0
7/28/2016,0,,0,0,0
7/29/2016,0,,0,0,0
7/30/2016,0,,0,0,0
7/31/2016,0,,0,0,0
8/1/2016,0,,0,0,0
8/2/2016,0,,0,0,0
8/3/2016,0,,0,0,0
8/4/2016,0,,0,0,0
8/5/2016,0,,0,0,0
8/6/2016,0,,0,0,0
8/7/2016,0,,0,0,0
8/8/2016,0,,0,0,0
8/9/2016,0,,0,0,0
8/10/2016,0,,0,0,0
8/11/2016,0,,0,0,0
8/12/2016,0,,0,0,0
8/13/2016,0,,0,0,0
8/14/2016,0,,0,0,0
8/15/2016,0,,0,0,0
8/16/2016,0,,0,0,0
8/17/2016,0,,0,0,0
8/18/2016,0,,0,0,0
8/19/2016,0,,0,0,0
8/20/2016,0,,0,0,0
8/21/2016,0,,0,0,0
8/22/2016,0,,0,0,0
8/23/2016,0,,0,0,0
8/24/2016,0,,0,0,0
8/25/2016,0,,0,0,0
8/26/2016,0,,0,0,0
8/27/2016,0,,0,0,0
8/28/2016,0,,0,0,0
8/29/2016,0,,0,0,0
8/30/2016,0,,0,0,0
8/31/2016,0,,0,0,0
9/1/2016,0,,0,405.1946081,0
9/2/2016,1106.443,,390.9305,1408.9,0
9/3/2016,1785.675,,1229.648,1491.173,458.7273
9/4/2016,1754.389,,1376.741,1528.891,1035.95
9/5/2016,1728.791,,1357.508,1484.456,925.4694
9/6/2016,1720.2259,,1351.078,1463.295,921.912
9/7/2016,1703.496,,1334.851,1429.781,916.1445
9/8/2016,1707.0357,,1345.075,1481.149,915.4223
9/9/2016,1707.498,,1346.922,1464.041,899.9715
9/10/2016,1763.13,,1403.885,1526.14,922.25
9/11/2016,1759.49,,1395.204,1495.823,921.2696
9/12/2016,1762.4281,,1398.429,1481.466,923.7048
9/13/2016,1761.069,,1391.928,1458.506,921.4118
9/14/2016,1753.84,,1385.262,1437.632,920.3437
9/15/2016,1760.967,,1392.279,1439.628,925.7066
9/16/2016,1716.741,,1342.796,1371.431,904.5465
9/17/2016,1706.04,,1326.8,1351.426,901.0638
9/18/2016,1730.427,,1328.886,1377.833,913.905
9/19/2016,1723.836,,1311.114,1363.005,913.8301
9/20/2016,1724.458,,1287.218,1357.693,914.3975
9/21/2016,1720.965,,1273.487,1349.148,913.9195
9/22/2016,1716.121,,1269.694,1342.802,911.848
9/23/2016,1714.444,,1257.044,1340.27,587.9954
9/24/2016,1704.335,,1238.779,1330.911,0
9/25/2016,1704.424,,1227.822,1336.714,0
9/26/2016,1693.936,410.3969,1207.145,1329.909,0
9/27/2016,1682.71,635.8391,1189.642,1325.499,0
9/28/2016,1696.3,651.342,1191.219,1372.134,0
9/29/2016,1689.339,668.37,1175.807,1471.31,0
9/30/2016,1665.89,685.458,1101.57,1475.319,0
10/1/2016,1615.446,710.431,1230.564,1411.22,0
10/2/2016,1609.387,713.094,1213.007,1402.239,0
10/3/2016,1606.954,767.955,1198.116,1386.897,0
10/4/2016,1598.834,776.349,1179.123,1374.706,0
10/5/2016,1587.902,775.897,1167.799,1364.304,0
10/6/2016,1583.45,789.26,1156.549,1359.055,0
10/7/2016,1573.669,794.704,1144.99,1348.595,0
10/8/2016,1575.533,804.021,1140.805,1356.464,0
10/9/2016,1573.416,810.6005,1133.966,1354.245,0
10/10/2016,1567.575,822.685,1130.79288,1349.77556,0
